日付,曜日,距離,タイム,ペース,スパン,コンディション,感想
2021年04月04日,Sunday,4.76,33.2,6:56,4,3,2kmすぎたらいたみなし。いい感じ。雨が降ってたのもいい。アイシングもちゃんとした
2021年04月07日,Wednesday,1.1,7.9,7,3,2,左膝違和感
